LAST SEEN   TYPE      REASON                              OBJECT                                     MESSAGE
8m25s       Normal    Started                             pod/scaletestapp-85449f4676-tmkp7          Started container scaletestapp
10m         Normal    Scheduled                           pod/scaletestapp-85449f4676-whnjc          Successfully assigned default/scaletestapp-85449f4676-whnjc to minikube
10m         Normal    Pulling                             pod/scaletestapp-85449f4676-whnjc          Pulling image "shestera/scaletestapp"
10m         Normal    Pulled                              pod/scaletestapp-85449f4676-whnjc          Successfully pulled image "shestera/scaletestapp" in 1.298s (1.298s including waiting). Image size: 10812245 bytes.
10m         Normal    Created                             pod/scaletestapp-85449f4676-whnjc          Created container scaletestapp
10m         Normal    Started                             pod/scaletestapp-85449f4676-whnjc          Started container scaletestapp
4m43s       Normal    Scheduled                           pod/scaletestapp-85449f4676-xtvrf          Successfully assigned default/scaletestapp-85449f4676-xtvrf to minikube
4m43s       Normal    Pulling                             pod/scaletestapp-85449f4676-xtvrf          Pulling image "shestera/scaletestapp"
4m41s       Normal    Pulled                              pod/scaletestapp-85449f4676-xtvrf          Successfully pulled image "shestera/scaletestapp" in 1.31s (1.31s including waiting). Image size: 10812245 bytes.
4m41s       Normal    Created                             pod/scaletestapp-85449f4676-xtvrf          Created container scaletestapp
4m41s       Normal    Started                             pod/scaletestapp-85449f4676-xtvrf          Started container scaletestapp
21m         Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-mwq4x
12m         Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-nvtvg
10m         Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-whnjc
8m28s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-tmkp7
6m35s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-j29kr
6m35s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-qv7lg
4m43s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-2pgct
4m43s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-xtvrf
3m47s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         Created pod: scaletestapp-85449f4676-qdlr7
3m47s       Normal    SuccessfulCreate                    replicaset/scaletestapp-85449f4676         (combined from similar events): Created pod: scaletestapp-85449f4676-l4frb
20m         Warning   FailedGetResourceMetric             horizontalpodautoscaler/scaletestapp-hpa   failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
20m         Warning   FailedComputeMetricsReplicas        horizontalpodautoscaler/scaletestapp-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
12m         Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 2; reason: memory resource utilization (percentage of request) above target
10m         Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 3; reason: memory resource utilization (percentage of request) above target
8m28s       Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 4; reason: memory resource utilization (percentage of request) above target
6m35s       Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 6; reason: memory resource utilization (percentage of request) above target
4m43s       Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 8; reason: memory resource utilization (percentage of request) above target
3m47s       Normal    SuccessfulRescale                   horizontalpodautoscaler/scaletestapp-hpa   New size: 10; reason: memory resource utilization (percentage of request) above target
21m         Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 1
12m         Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 2 from 1
10m         Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 3 from 2
8m28s       Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 4 from 3
6m35s       Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 6 from 4
4m43s       Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 8 from 6
3m47s       Normal    ScalingReplicaSet                   deployment/scaletestapp                    Scaled up replica set scaletestapp-85449f4676 to 10 from 8
